isotope,serie,energy,bkg,bkg_error,standard_name,standard,standard_error
K-40,potassium,1460.83,0.73615289,0.094146952,GSN,53.44688137,0.453449278
Pb-210,uranium,46.5,0.454860637,0.128038498,GSN,14.63623804,0.535838661
Th-234,uranium,63,-0.010558163,0.087632806,GSN,15.56991122,0.448228824
Th-234,uranium,92.8,0.184735367,0.174396811,GSN,44.00996179,0.760478216
U-235,uranium,185.8,0.148096418,0.126714097,GSN,18.85890094,0.440552914
Pa-234m,uranium,1001.03,-0.1023942,0.051043342,GSN,0.481234986,0.153363416
Th-230,uranium,67.67,-0.204137759,0.091453452,GSN,2.056976716,0.409698468
Pb-214,uranium,295.091,0.58251752,0.109398646,GSN,33.98148437,0.43281097
Pb-214,uranium,351.87,1.139822594,0.096284603,GSN,56.19734408,0.477209083
Bi-214,uranium,609.311,0.889564935,0.10263767,GSN,31.93271625,0.413612365
Bi-214,uranium,1120.273,-0.283661699,0.100357055,GSN,5.876353955,0.323458791
Pb-212,thorium,238.6,0.058027546,0.093166365,GSN,172.0203757,0.749249626
Ac-228,thorium,339.1,-0.027101206,0.080910111,GSN,29.05172634,0.367281016
Tl-208,thorium,583.191,0.091424517,0.063373983,GSN,35.87552701,0.369940923
Bi-212,thorium,727.1,0.026744092,0.078811295,GSN,8.829262622,0.291924966
Tl-208,thorium,860.54,0.088244396,0.081552143,GSN,4.662363682,0.250975868
Ac-228,thorium,911.205,0.139016815,0.078577317,GSN,24.5000285,0.362023111
Ac-228,thorium,968.971,0.054267823,0.053296033,GSN,13.76101588,0.258420373
